notebook,has_repo_import_hook,has_seed_hint,uses_deterministic_generator,is_reproducible_proxy
00_data_prep.ipynb,True,True,False,True
01_feature_engineering.ipynb,True,True,False,True
02_residential_mortgage_lgd.ipynb,True,True,True,True
03_commercial_cashflow_lgd.ipynb,True,True,True,True
04_receivables_invoice_finance_lgd.ipynb,True,True,True,True
05_trade_contingent_facilities_lgd.ipynb,True,True,True,True
06_asset_equipment_finance_lgd.ipynb,True,True,True,True
07_development_finance_lgd.ipynb,True,True,True,True
08_cre_investment_lgd.ipynb,True,True,False,True
09_residual_stock_lgd.ipynb,True,True,False,True
10_land_subdivision_lgd.ipynb,True,True,False,True
11_bridging_loan_lgd.ipynb,True,True,False,True
12_mezz_second_mortgage_lgd.ipynb,True,True,False,True
13_cross_product_comparison.ipynb,True,True,True,True
14_model_engine.ipynb,True,True,False,True
15_validation.ipynb,True,True,False,True
16_reporting.ipynb,True,True,False,True
17_industry_risk_integration.ipynb,True,False,True,True
18_lgd_final_layer.ipynb,True,True,False,True
19_cashflow_lending_pd_alignment.ipynb,True,True,True,True
